source_id,ra,dec,pmra,pmdec,parallax,radial_velocity,mass,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,radial_velocity_error,mass_error
66798526845337344,56.47976397387461,24.554604059172803,19.533204676406434,-45.55090168896121,7.3551891416930175,4.2994475,0.58,0.023090687,0.014974199,0.03228313,0.019224782,0.024002949,5.2536798,0.01
64956123313498368,56.45303174951979,23.147850803372048,19.02937718369986,-45.46310824022036,7.404869641412335,5.299024,1.13,0.01865014,0.01191799,0.024696719,0.014802787,0.018651934,0.21958748,0.03
65207709613871744,56.849928429173104,23.914271006001808,19.60591854512209,-46.32969547460584,7.185575669070407,5.368229,1.09,0.04690037,0.03655609,0.060044825,0.0443024,0.053416234,0.5776826,0.03
65272817023559040,56.09705800204935,24.132377233709853,20.325850542233443,-47.786933718396135,7.25107773889799,10.244207,0.56,0.03148268,0.024096482,0.039259054,0.029576976,0.037444804,7.441258,0.01
66507469798632320,57.489468160076925,23.84688194166913,21.530786822847254,-43.565036071731676,7.6427806651503,0.9341931,1.1,0.2451199,0.1352415,0.28000283,0.17623553,0.24566285,2.455118,0.03
65248460263511552,56.05316220658391,24.031592251729883,20.146309227148777,-45.14531743177651,7.363469370053254,4.6761637,0.82,0.102332674,0.09168531,0.12640567,0.10855923,0.13366552,1.2272983,0.02
65163797866480768,56.357469738924664,23.429472713503674,17.336971353714397,-37.24977954462792,5.700722950141329,100.35094,0.42,0.23409876,0.18020597,0.31759775,0.22484018,0.26115835,9.050626,0.02
66733556873061120,56.65527358642529,24.343309000534717,16.380963499412466,-44.761625703547836,7.289904593804694,4.0825453,0.71,0.08010481,0.05358786,0.1552142,0.09054433,0.07829111,1.7694254,0.02
66474450090139008,58.30513663992306,23.927885077275356,12.056254148420853,-46.30708322534767,8.456039156387316,13.486384,0.45,0.03484365,0.020949526,0.04111482,0.026581205,0.037682142,6.8540974,0.02
68364544933829376,55.51592567605937,24.7125362590405,21.721589211020092,-45.29248536967149,7.485806292535069,12.204306,0.6,0.04297864,0.035991907,0.06726752,0.057571474,0.057111867,4.8928576,0.02
65266499126062080,55.90242144676382,24.232125457001704,19.570862182934587,-42.10544434847715,7.698967125167992,-92.690414,0.54,0.09870053,0.07453746,0.120062515,0.0861581,0.11388447,7.1160617,0.01
65241313437941504,56.13322156163397,23.875211468904485,19.612794179791926,-46.53499963859164,7.357232412939338,10.056603,0.54,0.0349699,0.025829317,0.04893924,0.0379061,0.03812598,5.962319,0.01
